# 8822E regulatory TX-power limit (array_mp_8822e_txpwr_lmt, all regions)
# fields: reg band bw rs ntx ch val  (reg: FCC=0 ETSI=1 MKK=2 WW13=3 IC=4 KCC=5 ACMA=6 CHILE=7 UKRAINE=8 MEXICO=9 CN=10 QATAR=11 UK=12; band 2.4G=0 5G=1; bw 20/40/80/160=0..3; rs CCK/OFDM/HT/VHT=0..3; ntx 1T/2T=0/1; val=power-index limit)
0 0 1 2 0 6 64
1 0 1 2 0 6 60
2 0 1 2 0 6 72
4 0 1 2 0 6 64
5 0 1 2 0 6 72
6 0 1 2 0 6 60
7 0 1 2 0 6 64
8 0 1 2 0 6 60
9 0 1 2 0 6 64
10 0 1 2 0 6 60
0 0 1 2 0 7 60
1 0 1 2 0 7 60
2 0 1 2 0 7 72
4 0 1 2 0 7 60
5 0 1 2 0 7 72
6 0 1 2 0 7 60
7 0 1 2 0 7 60
8 0 1 2 0 7 60
9 0 1 2 0 7 60
10 0 1 2 0 7 60
0 0 1 2 0 8 52
1 0 1 2 0 8 60
2 0 1 2 0 8 72
4 0 1 2 0 8 52
5 0 1 2 0 8 72
6 0 1 2 0 8 60
7 0 1 2 0 8 52
8 0 1 2 0 8 60
9 0 1 2 0 8 52
10 0 1 2 0 8 60
0 0 1 2 0 9 52
1 0 1 2 0 9 60
2 0 1 2 0 9 72
4 0 1 2 0 9 52
5 0 1 2 0 9 72
6 0 1 2 0 9 60
7 0 1 2 0 9 52
8 0 1 2 0 9 60
9 0 1 2 0 9 52
10 0 1 2 0 9 44
0 0 1 2 0 10 40
1 0 1 2 0 10 60
2 0 1 2 0 10 72
4 0 1 2 0 10 40
5 0 1 2 0 10 72
6 0 1 2 0 10 60
7 0 1 2 0 10 40
8 0 1 2 0 10 60
9 0 1 2 0 10 40
10 0 1 2 0 10 44
0 0 1 2 0 11 28
1 0 1 2 0 11 60
2 0 1 2 0 11 72
4 0 1 2 0 11 28
5 0 1 2 0 11 70
6 0 1 2 0 11 60
7 0 1 2 0 11 28
8 0 1 2 0 11 60
9 0 1 2 0 11 28
10 0 1 2 0 11 20
0 0 1 2 0 12 127
1 0 1 2 0 12 127
2 0 1 2 0 12 127
4 0 1 2 0 12 127
5 0 1 2 0 12 127
6 0 1 2 0 12 127
7 0 1 2 0 12 127
8 0 1 2 0 12 127
9 0 1 2 0 12 127
10 0 1 2 0 12 127
0 0 1 2 0 13 127
1 0 1 2 0 13 127
2 0 1 2 0 13 127
4 0 1 2 0 13 127
5 0 1 2 0 13 127
6 0 1 2 0 13 127
7 0 1 2 0 13 127
8 0 1 2 0 13 127
9 0 1 2 0 13 127
10 0 1 2 0 13 127
0 0 1 2 0 14 127
1 0 1 2 0 14 127
2 0 1 2 0 14 127
4 0 1 2 0 14 127
5 0 1 2 0 14 127
6 0 1 2 0 14 127
7 0 1 2 0 14 127
8 0 1 2 0 14 127
9 0 1 2 0 14 127
10 0 1 2 0 14 127
0 0 1 2 1 1 127
1 0 1 2 1 1 127
2 0 1 2 1 1 127
4 0 1 2 1 1 127
5 0 1 2 1 1 127
6 0 1 2 1 1 127
7 0 1 2 1 1 127
8 0 1 2 1 1 127
9 0 1 2 1 1 127
10 0 1 2 1 1 127
0 0 1 2 1 2 127
1 0 1 2 1 2 127
2 0 1 2 1 2 127
4 0 1 2 1 2 127
5 0 1 2 1 2 127
6 0 1 2 1 2 127
7 0 1 2 1 2 127
8 0 1 2 1 2 127
9 0 1 2 1 2 127
10 0 1 2 1 2 127
0 0 1 2 1 3 48
1 0 1 2 1 3 36
2 0 1 2 1 3 66
4 0 1 2 1 3 48
5 0 1 2 1 3 66
6 0 1 2 1 3 36
7 0 1 2 1 3 48
8 0 1 2 1 3 36
9 0 1 2 1 3 48
10 0 1 2 1 3 36
0 0 1 2 1 4 48
1 0 1 2 1 4 36
2 0 1 2 1 4 66
4 0 1 2 1 4 48
5 0 1 2 1 4 70
6 0 1 2 1 4 36
7 0 1 2 1 4 48
8 0 1 2 1 4 36
9 0 1 2 1 4 48
10 0 1 2 1 4 36
0 0 1 2 1 5 60
1 0 1 2 1 5 36
2 0 1 2 1 5 66
4 0 1 2 1 5 60
5 0 1 2 1 5 70
6 0 1 2 1 5 36
7 0 1 2 1 5 60
8 0 1 2 1 5 36
9 0 1 2 1 5 60
10 0 1 2 1 5 36
0 0 1 2 1 6 64
1 0 1 2 1 6 36
2 0 1 2 1 6 66
4 0 1 2 1 6 64
5 0 1 2 1 6 70
6 0 1 2 1 6 36
7 0 1 2 1 6 64
8 0 1 2 1 6 36
9 0 1 2 1 6 64
10 0 1 2 1 6 36
0 0 1 2 1 7 60
1 0 1 2 1 7 36
2 0 1 2 1 7 66
4 0 1 2 1 7 60
5 0 1 2 1 7 70
6 0 1 2 1 7 36
7 0 1 2 1 7 60
8 0 1 2 1 7 36
9 0 1 2 1 7 60
10 0 1 2 1 7 36
0 0 1 2 1 8 52
1 0 1 2 1 8 36
2 0 1 2 1 8 66
4 0 1 2 1 8 52
5 0 1 2 1 8 70
6 0 1 2 1 8 36
7 0 1 2 1 8 52
8 0 1 2 1 8 36
9 0 1 2 1 8 52
10 0 1 2 1 8 36
0 0 1 2 1 9 52
1 0 1 2 1 9 36
2 0 1 2 1 9 66
4 0 1 2 1 9 52
5 0 1 2 1 9 70
6 0 1 2 1 9 36
7 0 1 2 1 9 52
8 0 1 2 1 9 36
9 0 1 2 1 9 52
10 0 1 2 1 9 32
0 0 1 2 1 10 40
1 0 1 2 1 10 36
2 0 1 2 1 10 66
4 0 1 2 1 10 40
5 0 1 2 1 10 70
6 0 1 2 1 10 36
7 0 1 2 1 10 40
8 0 1 2 1 10 36
9 0 1 2 1 10 40
10 0 1 2 1 10 32
0 0 1 2 1 11 26
1 0 1 2 1 11 36
2 0 1 2 1 11 66
4 0 1 2 1 11 26
5 0 1 2 1 11 66
6 0 1 2 1 11 36
7 0 1 2 1 11 26
8 0 1 2 1 11 36
9 0 1 2 1 11 26
10 0 1 2 1 11 8
0 0 1 2 1 12 127
1 0 1 2 1 12 127
2 0 1 2 1 12 127
4 0 1 2 1 12 127
5 0 1 2 1 12 127
6 0 1 2 1 12 127
7 0 1 2 1 12 127
8 0 1 2 1 12 127
9 0 1 2 1 12 127
10 0 1 2 1 12 127
0 0 1 2 1 13 127
1 0 1 2 1 13 127
2 0 1 2 1 13 127
4 0 1 2 1 13 127
5 0 1 2 1 13 127
6 0 1 2 1 13 127
7 0 1 2 1 13 127
8 0 1 2 1 13 127
9 0 1 2 1 13 127
10 0 1 2 1 13 127
0 0 1 2 1 14 127
1 0 1 2 1 14 127
2 0 1 2 1 14 127
4 0 1 2 1 14 127
5 0 1 2 1 14 127
6 0 1 2 1 14 127
7 0 1 2 1 14 127
8 0 1 2 1 14 127
9 0 1 2 1 14 127
10 0 1 2 1 14 127
0 1 0 1 0 36 72
1 1 0 1 0 36 62
2 1 0 1 0 36 60
4 1 0 1 0 36 62
5 1 0 1 0 36 76
6 1 0 1 0 36 62
7 1 0 1 0 36 64
8 1 0 1 0 36 54
9 1 0 1 0 36 62
10 1 0 1 0 36 62
0 1 0 1 0 40 76
1 1 0 1 0 40 62
2 1 0 1 0 40 62
4 1 0 1 0 40 62
5 1 0 1 0 40 76
6 1 0 1 0 40 62
7 1 0 1 0 40 64
8 1 0 1 0 40 54
9 1 0 1 0 40 62
10 1 0 1 0 40 62
0 1 0 1 0 44 76
1 1 0 1 0 44 62
2 1 0 1 0 44 62
4 1 0 1 0 44 62
5 1 0 1 0 44 76
6 1 0 1 0 44 62
7 1 0 1 0 44 64
8 1 0 1 0 44 54
9 1 0 1 0 44 62
10 1 0 1 0 44 62
0 1 0 1 0 48 76
1 1 0 1 0 48 62
2 1 0 1 0 48 62
4 1 0 1 0 48 62
5 1 0 1 0 48 54
6 1 0 1 0 48 62
7 1 0 1 0 48 64
8 1 0 1 0 48 54
9 1 0 1 0 48 62
10 1 0 1 0 48 62
0 1 0 1 0 52 76
1 1 0 1 0 52 62
2 1 0 1 0 52 62
4 1 0 1 0 52 64
5 1 0 1 0 52 76
6 1 0 1 0 52 62
7 1 0 1 0 52 76
8 1 0 1 0 52 54
9 1 0 1 0 52 76
10 1 0 1 0 52 62
0 1 0 1 0 56 76
1 1 0 1 0 56 62
2 1 0 1 0 56 62
4 1 0 1 0 56 64
5 1 0 1 0 56 76
6 1 0 1 0 56 62
7 1 0 1 0 56 76
8 1 0 1 0 56 54
9 1 0 1 0 56 76
10 1 0 1 0 56 62
0 1 0 1 0 60 76
1 1 0 1 0 60 62
2 1 0 1 0 60 62
4 1 0 1 0 60 64
5 1 0 1 0 60 76
6 1 0 1 0 60 62
7 1 0 1 0 60 76
8 1 0 1 0 60 54
9 1 0 1 0 60 76
10 1 0 1 0 60 62
0 1 0 1 0 64 72
1 1 0 1 0 64 62
2 1 0 1 0 64 60
4 1 0 1 0 64 64
5 1 0 1 0 64 76
6 1 0 1 0 64 62
7 1 0 1 0 64 74
8 1 0 1 0 64 54
9 1 0 1 0 64 74
10 1 0 1 0 64 62
0 1 0 1 0 100 72
1 1 0 1 0 100 62
2 1 0 1 0 100 76
4 1 0 1 0 100 72
5 1 0 1 0 100 76
6 1 0 1 0 100 62
7 1 0 1 0 100 72
8 1 0 1 0 100 54
9 1 0 1 0 100 72
10 1 0 1 0 100 127
0 1 0 1 0 104 76
1 1 0 1 0 104 62
2 1 0 1 0 104 76
4 1 0 1 0 104 76
5 1 0 1 0 104 76
6 1 0 1 0 104 62
7 1 0 1 0 104 76
8 1 0 1 0 104 54
9 1 0 1 0 104 76
10 1 0 1 0 104 127
0 1 0 1 0 108 76
1 1 0 1 0 108 62
2 1 0 1 0 108 76
4 1 0 1 0 108 76
5 1 0 1 0 108 76
6 1 0 1 0 108 62
7 1 0 1 0 108 76
8 1 0 1 0 108 54
9 1 0 1 0 108 76
10 1 0 1 0 108 127
0 1 0 1 0 112 76
1 1 0 1 0 112 62
2 1 0 1 0 112 76
4 1 0 1 0 112 76
5 1 0 1 0 112 76
6 1 0 1 0 112 62
7 1 0 1 0 112 76
8 1 0 1 0 112 54
9 1 0 1 0 112 76
10 1 0 1 0 112 127
0 1 0 1 0 116 76
1 1 0 1 0 116 62
2 1 0 1 0 116 76
4 1 0 1 0 116 76
5 1 0 1 0 116 76
6 1 0 1 0 116 62
7 1 0 1 0 116 76
8 1 0 1 0 116 54
9 1 0 1 0 116 76
10 1 0 1 0 116 127
0 1 0 1 0 120 76
1 1 0 1 0 120 62
2 1 0 1 0 120 76
4 1 0 1 0 120 127
5 1 0 1 0 120 76
6 1 0 1 0 120 127
7 1 0 1 0 120 76
8 1 0 1 0 120 54
9 1 0 1 0 120 76
10 1 0 1 0 120 127
0 1 0 1 0 124 76
1 1 0 1 0 124 62
2 1 0 1 0 124 76
4 1 0 1 0 124 127
5 1 0 1 0 124 76
6 1 0 1 0 124 127
7 1 0 1 0 124 76
8 1 0 1 0 124 54
9 1 0 1 0 124 76
10 1 0 1 0 124 127
0 1 0 1 0 128 76
1 1 0 1 0 128 62
2 1 0 1 0 128 76
4 1 0 1 0 128 127
5 1 0 1 0 128 76
6 1 0 1 0 128 127
7 1 0 1 0 128 76
8 1 0 1 0 128 54
9 1 0 1 0 128 76
10 1 0 1 0 128 127
0 1 0 1 0 132 76
1 1 0 1 0 132 62
2 1 0 1 0 132 76
4 1 0 1 0 132 76
5 1 0 1 0 132 76
6 1 0 1 0 132 62
7 1 0 1 0 132 76
8 1 0 1 0 132 54
9 1 0 1 0 132 76
10 1 0 1 0 132 127
0 1 0 1 0 136 76
1 1 0 1 0 136 62
2 1 0 1 0 136 76
4 1 0 1 0 136 76
5 1 0 1 0 136 76
6 1 0 1 0 136 62
7 1 0 1 0 136 76
8 1 0 1 0 136 54
9 1 0 1 0 136 76
10 1 0 1 0 136 127
0 1 0 1 0 140 72
1 1 0 1 0 140 62
2 1 0 1 0 140 76
4 1 0 1 0 140 72
5 1 0 1 0 140 76
6 1 0 1 0 140 62
7 1 0 1 0 140 72
8 1 0 1 0 140 54
9 1 0 1 0 140 72
10 1 0 1 0 140 127
0 1 0 1 0 144 76
1 1 0 1 0 144 127
2 1 0 1 0 144 127
4 1 0 1 0 144 76
5 1 0 1 0 144 76
6 1 0 1 0 144 127
7 1 0 1 0 144 76
8 1 0 1 0 144 127
9 1 0 1 0 144 76
10 1 0 1 0 144 127
0 1 0 1 0 149 76
1 1 0 1 0 149 -128
2 1 0 1 0 149 127
4 1 0 1 0 149 76
5 1 0 1 0 149 74
6 1 0 1 0 149 76
7 1 0 1 0 149 76
8 1 0 1 0 149 54
9 1 0 1 0 149 76
10 1 0 1 0 149 -128
0 1 0 1 0 153 76
1 1 0 1 0 153 -128
2 1 0 1 0 153 127
4 1 0 1 0 153 76
5 1 0 1 0 153 74
6 1 0 1 0 153 76
7 1 0 1 0 153 76
8 1 0 1 0 153 54
9 1 0 1 0 153 76
10 1 0 1 0 153 -128
0 1 0 1 0 157 76
1 1 0 1 0 157 -128
2 1 0 1 0 157 127
4 1 0 1 0 157 76
5 1 0 1 0 157 74
6 1 0 1 0 157 76
7 1 0 1 0 157 76
8 1 0 1 0 157 54
9 1 0 1 0 157 76
10 1 0 1 0 157 -128
0 1 0 1 0 161 76
1 1 0 1 0 161 -128
2 1 0 1 0 161 127
4 1 0 1 0 161 76
5 1 0 1 0 161 74
6 1 0 1 0 161 76
7 1 0 1 0 161 76
8 1 0 1 0 161 54
9 1 0 1 0 161 76
10 1 0 1 0 161 -128
0 1 0 1 0 165 76
1 1 0 1 0 165 -128
2 1 0 1 0 165 127
4 1 0 1 0 165 76
5 1 0 1 0 165 74
6 1 0 1 0 165 76
7 1 0 1 0 165 76
8 1 0 1 0 165 54
9 1 0 1 0 165 76
10 1 0 1 0 165 -128
0 1 0 1 1 36 64
1 1 0 1 1 36 50
2 1 0 1 1 36 48
4 1 0 1 1 36 40
5 1 0 1 1 36 66
6 1 0 1 1 36 50
7 1 0 1 1 36 52
8 1 0 1 1 36 42
9 1 0 1 1 36 50
10 1 0 1 1 36 50
0 1 0 1 1 40 68
1 1 0 1 1 40 50
2 1 0 1 1 40 50
4 1 0 1 1 40 40
5 1 0 1 1 40 66
6 1 0 1 1 40 50
7 1 0 1 1 40 52
8 1 0 1 1 40 42
9 1 0 1 1 40 50
10 1 0 1 1 40 50
0 1 0 1 1 44 68
1 1 0 1 1 44 50
2 1 0 1 1 44 50
4 1 0 1 1 44 40
5 1 0 1 1 44 66
6 1 0 1 1 44 50
7 1 0 1 1 44 52
8 1 0 1 1 44 42
9 1 0 1 1 44 50
10 1 0 1 1 44 50
0 1 0 1 1 48 68
1 1 0 1 1 48 50
2 1 0 1 1 48 50
4 1 0 1 1 48 40
5 1 0 1 1 48 36
6 1 0 1 1 48 50
7 1 0 1 1 48 52
8 1 0 1 1 48 42
9 1 0 1 1 48 50
10 1 0 1 1 48 50
0 1 0 1 1 52 68
1 1 0 1 1 52 50
2 1 0 1 1 52 50
4 1 0 1 1 52 52
5 1 0 1 1 52 66
6 1 0 1 1 52 50
7 1 0 1 1 52 68
8 1 0 1 1 52 42
9 1 0 1 1 52 68
10 1 0 1 1 52 50
0 1 0 1 1 56 68
1 1 0 1 1 56 50
2 1 0 1 1 56 50
4 1 0 1 1 56 52
5 1 0 1 1 56 66
6 1 0 1 1 56 50
7 1 0 1 1 56 68
8 1 0 1 1 56 42
9 1 0 1 1 56 68
10 1 0 1 1 56 50
0 1 0 1 1 60 66
1 1 0 1 1 60 50
2 1 0 1 1 60 50
4 1 0 1 1 60 52
5 1 0 1 1 60 66
6 1 0 1 1 60 50
7 1 0 1 1 60 66
8 1 0 1 1 60 42
9 1 0 1 1 60 66
10 1 0 1 1 60 50
0 1 0 1 1 64 68
1 1 0 1 1 64 50
2 1 0 1 1 64 48
4 1 0 1 1 64 52
5 1 0 1 1 64 66
6 1 0 1 1 64 50
7 1 0 1 1 64 68
8 1 0 1 1 64 42
9 1 0 1 1 64 68
10 1 0 1 1 64 50
0 1 0 1 1 100 60
1 1 0 1 1 100 50
2 1 0 1 1 100 70
4 1 0 1 1 100 60
5 1 0 1 1 100 66
6 1 0 1 1 100 50
7 1 0 1 1 100 60
8 1 0 1 1 100 42
9 1 0 1 1 100 60
10 1 0 1 1 100 127
0 1 0 1 1 104 68
1 1 0 1 1 104 50
2 1 0 1 1 104 70
4 1 0 1 1 104 68
5 1 0 1 1 104 66
6 1 0 1 1 104 50
7 1 0 1 1 104 68
8 1 0 1 1 104 42
9 1 0 1 1 104 68
10 1 0 1 1 104 127
0 1 0 1 1 108 68
1 1 0 1 1 108 50
2 1 0 1 1 108 70
4 1 0 1 1 108 68
5 1 0 1 1 108 66
6 1 0 1 1 108 50
7 1 0 1 1 108 68
8 1 0 1 1 108 42
9 1 0 1 1 108 68
10 1 0 1 1 108 127
0 1 0 1 1 112 68
1 1 0 1 1 112 50
2 1 0 1 1 112 70
4 1 0 1 1 112 68
5 1 0 1 1 112 66
6 1 0 1 1 112 50
7 1 0 1 1 112 68
8 1 0 1 1 112 42
9 1 0 1 1 112 68
10 1 0 1 1 112 127
0 1 0 1 1 116 68
1 1 0 1 1 116 50
2 1 0 1 1 116 70
4 1 0 1 1 116 68
5 1 0 1 1 116 66
6 1 0 1 1 116 50
7 1 0 1 1 116 68
8 1 0 1 1 116 42
9 1 0 1 1 116 68
10 1 0 1 1 116 127
0 1 0 1 1 120 68
1 1 0 1 1 120 50
2 1 0 1 1 120 70
4 1 0 1 1 120 127
5 1 0 1 1 120 66
6 1 0 1 1 120 127
7 1 0 1 1 120 68
8 1 0 1 1 120 42
9 1 0 1 1 120 68
10 1 0 1 1 120 127
0 1 0 1 1 124 68
1 1 0 1 1 124 50
2 1 0 1 1 124 70
4 1 0 1 1 124 127
5 1 0 1 1 124 66
6 1 0 1 1 124 127
7 1 0 1 1 124 68
8 1 0 1 1 124 42
9 1 0 1 1 124 68
10 1 0 1 1 124 127
0 1 0 1 1 128 68
1 1 0 1 1 128 50
2 1 0 1 1 128 70
4 1 0 1 1 128 127
5 1 0 1 1 128 66
6 1 0 1 1 128 127
7 1 0 1 1 128 68
8 1 0 1 1 128 42
9 1 0 1 1 128 68
10 1 0 1 1 128 127
0 1 0 1 1 132 68
1 1 0 1 1 132 50
2 1 0 1 1 132 70
4 1 0 1 1 132 68
5 1 0 1 1 132 66
6 1 0 1 1 132 50
7 1 0 1 1 132 68
8 1 0 1 1 132 42
9 1 0 1 1 132 68
10 1 0 1 1 132 127
0 1 0 1 1 136 68
1 1 0 1 1 136 50
2 1 0 1 1 136 70
4 1 0 1 1 136 68
5 1 0 1 1 136 66
6 1 0 1 1 136 50
7 1 0 1 1 136 68
8 1 0 1 1 136 42
9 1 0 1 1 136 68
10 1 0 1 1 136 127
0 1 0 1 1 140 60
1 1 0 1 1 140 50
2 1 0 1 1 140 70
4 1 0 1 1 140 60
5 1 0 1 1 140 66
6 1 0 1 1 140 50
7 1 0 1 1 140 60
8 1 0 1 1 140 42
9 1 0 1 1 140 60
10 1 0 1 1 140 127
0 1 0 1 1 144 68
1 1 0 1 1 144 127
2 1 0 1 1 144 127
4 1 0 1 1 144 68
5 1 0 1 1 144 66
6 1 0 1 1 144 127
7 1 0 1 1 144 68
8 1 0 1 1 144 127
9 1 0 1 1 144 68
10 1 0 1 1 144 127
0 1 0 1 1 149 76
1 1 0 1 1 149 -128
2 1 0 1 1 149 127
4 1 0 1 1 149 76
5 1 0 1 1 149 64
6 1 0 1 1 149 76
7 1 0 1 1 149 76
8 1 0 1 1 149 42
9 1 0 1 1 149 72
10 1 0 1 1 149 -128
0 1 0 1 1 153 76
1 1 0 1 1 153 -128
2 1 0 1 1 153 127
4 1 0 1 1 153 76
5 1 0 1 1 153 64
6 1 0 1 1 153 76
7 1 0 1 1 153 76
8 1 0 1 1 153 42
9 1 0 1 1 153 76
10 1 0 1 1 153 -128
0 1 0 1 1 157 76
1 1 0 1 1 157 -128
2 1 0 1 1 157 127
4 1 0 1 1 157 76
5 1 0 1 1 157 64
6 1 0 1 1 157 76
7 1 0 1 1 157 76
8 1 0 1 1 157 42
9 1 0 1 1 157 76
10 1 0 1 1 157 -128
0 1 0 1 1 161 76
1 1 0 1 1 161 -128
2 1 0 1 1 161 127
4 1 0 1 1 161 76
5 1 0 1 1 161 64
6 1 0 1 1 161 76
7 1 0 1 1 161 76
8 1 0 1 1 161 42
9 1 0 1 1 161 76
10 1 0 1 1 161 -128
0 1 0 1 1 165 76
1 1 0 1 1 165 -128
2 1 0 1 1 165 127
4 1 0 1 1 165 76
5 1 0 1 1 165 64
6 1 0 1 1 165 76
7 1 0 1 1 165 76
8 1 0 1 1 165 42
9 1 0 1 1 165 76
10 1 0 1 1 165 -128
0 1 0 2 0 36 72
1 1 0 2 0 36 62
2 1 0 2 0 36 62
4 1 0 2 0 36 62
5 1 0 2 0 36 76
6 1 0 2 0 36 62
7 1 0 2 0 36 64
8 1 0 2 0 36 54
9 1 0 2 0 36 62
10 1 0 2 0 36 62
0 1 0 2 0 40 76
1 1 0 2 0 40 62
2 1 0 2 0 40 62
4 1 0 2 0 40 62
5 1 0 2 0 40 76
6 1 0 2 0 40 62
7 1 0 2 0 40 64
8 1 0 2 0 40 54
9 1 0 2 0 40 62
10 1 0 2 0 40 62
0 1 0 2 0 44 76
1 1 0 2 0 44 62
2 1 0 2 0 44 62
4 1 0 2 0 44 62
5 1 0 2 0 44 76
6 1 0 2 0 44 62
7 1 0 2 0 44 64
8 1 0 2 0 44 54
9 1 0 2 0 44 62
10 1 0 2 0 44 62
0 1 0 2 0 48 76
1 1 0 2 0 48 62
2 1 0 2 0 48 62
4 1 0 2 0 48 62
5 1 0 2 0 48 54
6 1 0 2 0 48 62
7 1 0 2 0 48 64
8 1 0 2 0 48 54
9 1 0 2 0 48 62
10 1 0 2 0 48 62
0 1 0 2 0 52 76
1 1 0 2 0 52 62
2 1 0 2 0 52 62
4 1 0 2 0 52 64
5 1 0 2 0 52 76
6 1 0 2 0 52 62
7 1 0 2 0 52 76
8 1 0 2 0 52 54
9 1 0 2 0 52 76
10 1 0 2 0 52 62
0 1 0 2 0 56 76
1 1 0 2 0 56 62
2 1 0 2 0 56 62
4 1 0 2 0 56 64
5 1 0 2 0 56 76
6 1 0 2 0 56 62
7 1 0 2 0 56 76
8 1 0 2 0 56 54
9 1 0 2 0 56 76
10 1 0 2 0 56 62
0 1 0 2 0 60 76
1 1 0 2 0 60 62
2 1 0 2 0 60 62
4 1 0 2 0 60 64
5 1 0 2 0 60 76
6 1 0 2 0 60 62
7 1 0 2 0 60 76
8 1 0 2 0 60 54
9 1 0 2 0 60 76
10 1 0 2 0 60 62
0 1 0 2 0 64 72
1 1 0 2 0 64 62
2 1 0 2 0 64 60
4 1 0 2 0 64 64
5 1 0 2 0 64 74
6 1 0 2 0 64 62
7 1 0 2 0 64 74
8 1 0 2 0 64 54
9 1 0 2 0 64 74
10 1 0 2 0 64 62
0 1 0 2 0 100 70
1 1 0 2 0 100 62
2 1 0 2 0 100 76
4 1 0 2 0 100 70
5 1 0 2 0 100 76
6 1 0 2 0 100 62
7 1 0 2 0 100 70
8 1 0 2 0 100 54
9 1 0 2 0 100 70
10 1 0 2 0 100 127
0 1 0 2 0 104 76
1 1 0 2 0 104 62
2 1 0 2 0 104 76
4 1 0 2 0 104 76
5 1 0 2 0 104 76
6 1 0 2 0 104 62
7 1 0 2 0 104 76
8 1 0 2 0 104 54
9 1 0 2 0 104 76
10 1 0 2 0 104 127
0 1 0 2 0 108 76
1 1 0 2 0 108 62
2 1 0 2 0 108 76
4 1 0 2 0 108 76
5 1 0 2 0 108 76
6 1 0 2 0 108 62
7 1 0 2 0 108 76
8 1 0 2 0 108 54
9 1 0 2 0 108 76
10 1 0 2 0 108 127
0 1 0 2 0 112 76
1 1 0 2 0 112 62
2 1 0 2 0 112 76
4 1 0 2 0 112 76
5 1 0 2 0 112 76
6 1 0 2 0 112 62
7 1 0 2 0 112 76
8 1 0 2 0 112 54
9 1 0 2 0 112 76
10 1 0 2 0 112 127
0 1 0 2 0 116 76
1 1 0 2 0 116 62
2 1 0 2 0 116 76
4 1 0 2 0 116 76
5 1 0 2 0 116 76
6 1 0 2 0 116 62
7 1 0 2 0 116 76
8 1 0 2 0 116 54
9 1 0 2 0 116 76
10 1 0 2 0 116 127
0 1 0 2 0 120 76
1 1 0 2 0 120 62
2 1 0 2 0 120 76
4 1 0 2 0 120 127
5 1 0 2 0 120 76
6 1 0 2 0 120 127
7 1 0 2 0 120 76
8 1 0 2 0 120 54
9 1 0 2 0 120 76
10 1 0 2 0 120 127
0 1 0 2 0 124 76
1 1 0 2 0 124 62
2 1 0 2 0 124 76
4 1 0 2 0 124 127
5 1 0 2 0 124 76
6 1 0 2 0 124 127
7 1 0 2 0 124 76
8 1 0 2 0 124 54
9 1 0 2 0 124 76
10 1 0 2 0 124 127
0 1 0 2 0 128 76
1 1 0 2 0 128 62
2 1 0 2 0 128 76
4 1 0 2 0 128 127
5 1 0 2 0 128 76
6 1 0 2 0 128 127
7 1 0 2 0 128 76
8 1 0 2 0 128 54
9 1 0 2 0 128 76
10 1 0 2 0 128 127
0 1 0 2 0 132 76
1 1 0 2 0 132 62
2 1 0 2 0 132 76
4 1 0 2 0 132 76
5 1 0 2 0 132 76
6 1 0 2 0 132 62
7 1 0 2 0 132 76
8 1 0 2 0 132 54
9 1 0 2 0 132 76
10 1 0 2 0 132 127
0 1 0 2 0 136 76
1 1 0 2 0 136 62
2 1 0 2 0 136 76
4 1 0 2 0 136 76
5 1 0 2 0 136 76
6 1 0 2 0 136 62
7 1 0 2 0 136 76
8 1 0 2 0 136 54
9 1 0 2 0 136 76
10 1 0 2 0 136 127
0 1 0 2 0 140 70
1 1 0 2 0 140 62
2 1 0 2 0 140 76
4 1 0 2 0 140 70
5 1 0 2 0 140 76
6 1 0 2 0 140 62
7 1 0 2 0 140 70
8 1 0 2 0 140 54
9 1 0 2 0 140 70
10 1 0 2 0 140 127
0 1 0 2 0 144 76
1 1 0 2 0 144 127
2 1 0 2 0 144 127
4 1 0 2 0 144 76
5 1 0 2 0 144 76
6 1 0 2 0 144 127
7 1 0 2 0 144 76
8 1 0 2 0 144 127
9 1 0 2 0 144 76
10 1 0 2 0 144 127
0 1 0 2 0 149 76
1 1 0 2 0 149 -128
2 1 0 2 0 149 127
4 1 0 2 0 149 76
5 1 0 2 0 149 74
6 1 0 2 0 149 76
7 1 0 2 0 149 76
8 1 0 2 0 149 54
9 1 0 2 0 149 76
10 1 0 2 0 149 -128
0 1 0 2 0 153 76
1 1 0 2 0 153 -128
2 1 0 2 0 153 127
4 1 0 2 0 153 76
5 1 0 2 0 153 74
6 1 0 2 0 153 76
7 1 0 2 0 153 76
8 1 0 2 0 153 54
9 1 0 2 0 153 76
10 1 0 2 0 153 -128
0 1 0 2 0 157 76
1 1 0 2 0 157 -128
2 1 0 2 0 157 127
4 1 0 2 0 157 76
5 1 0 2 0 157 74
6 1 0 2 0 157 76
7 1 0 2 0 157 76
8 1 0 2 0 157 54
9 1 0 2 0 157 76
10 1 0 2 0 157 -128
0 1 0 2 0 161 76
1 1 0 2 0 161 -128
2 1 0 2 0 161 127
4 1 0 2 0 161 76
5 1 0 2 0 161 74
6 1 0 2 0 161 76
7 1 0 2 0 161 76
8 1 0 2 0 161 54
9 1 0 2 0 161 76
10 1 0 2 0 161 -128
0 1 0 2 0 165 76
1 1 0 2 0 165 -128
2 1 0 2 0 165 127
4 1 0 2 0 165 76
5 1 0 2 0 165 74
6 1 0 2 0 165 76
7 1 0 2 0 165 76
8 1 0 2 0 165 54
9 1 0 2 0 165 76
10 1 0 2 0 165 -128
0 1 0 2 1 36 68
1 1 0 2 1 36 38
